X,Bird.ID,Birth.Date,DOR,Age_Rec,Clutch,Social.Father,Genetic.Father,GGF_F,GGM_F,Genetic.Mother,GGF_M,GGM_M,GGF_G
1,JS0002,2007-09-15,2011-04-27,3.6139630390143735,I,NA,NA,NA,NA,NA,NA,NA,NA
2,JS0003,2007-09-15,2011-05-01,3.6249144421629023,AA,NA,NA,NA,NA,NA,NA,NA,NA
3,JS0005,2007-09-15,2011-10-18,4.090349075975359,AN,NA,NA,NA,NA,NA,NA,NA,NA
4,JS0016,2009-05-15,2011-11-23,2.524298425735797,P,NA,NA,NA,NA,NA,NA,NA,NA
5,JS0023,2009-06-25,2011-11-21,2.406570841889117,AS,NA,NA,NA,NA,NA,NA,NA,NA
6,JS0036,2009-07-01,2011-10-25,2.316221765913758,Y,NA,NA,NA,NA,NA,NA,NA,NA
7,JS0037,2009-07-01,2013-05-21,3.887748117727584,A,NA,NA,NA,NA,NA,NA,NA,NA
8,JS0040,2010-07-31,2011-10-21,1.2238193018480492,AB,JS0003,JS0003,NA,NA,JS0004,NA,NA,NA
9,JS0041,2010-07-31,2012-01-13,1.4537987679671458,AB,JS0003,JS0003,NA,NA,JS0004,NA,NA,NA
10,JS0042,2010-07-31,2011-11-24,1.3169062286105406,AB,JS0003,JS0003,NA,NA,JS0004,NA,NA,NA
11,JS0044,2010-09-30,2011-12-06,1.1827515400410678,AC,JS0003,JS0032,NA,NA,JS0014,NA,NA,NA
12,JS0045,2010-09-30,2011-11-28,1.160848733744011,AC,JS0003,JS0032,NA,NA,JS0014,NA,NA,NA
13,JS0046,2010-09-30,2011-11-08,1.106091718001369,AC,JS0003,JS0032,NA,NA,JS0014,NA,NA,NA
14,JS0048,2010-11-01,2015-01-17,4.210814510609172,J,JS0002,NA,NA,NA,NA,NA,NA,NA
15,JS0051,2010-10-30,2011-11-10,1.0294318959616702,AT,JS0023,NA,NA,NA,NA,NA,NA,NA
16,JS0052,2010-12-12,2011-12-21,1.0239561943874058,B,JS0037,JS0037,NA,NA,JS0028,NA,NA,NA
17,JS0064,2010-12-12,2014-01-11,3.082819986310746,BA,NA,NA,NA,NA,NA,NA,NA,NA
18,JS0066,2011-04-24,2020-02-27,8.845995893223819,Z,JS0036,JS0036,NA,NA,JS0029,NA,NA,NA
19,JS0067,2011-04-24,2015-04-07,3.9534565366187544,Z,JS0036,JS0036,NA,NA,JS0029,NA,NA,NA
20,JS0068,2011-04-24,2015-01-19,3.7399041752224504,Z,JS0036,JS0036,NA,NA,JS0029,NA,NA,NA
21,JS0069,2011-06-12,2011-11-15,0.4271047227926078,Q,JS0016,JS0016,NA,NA,JS0015,NA,NA,NA
22,JS0072,2011-06-21,2013-09-20,2.2505133470225873,AU,JS0023,JS0023,NA,NA,JS0024,NA,NA,NA
23,JS0074,2011-07-03,2013-10-01,2.2477754962354553,AD,JS0045,JS0045,JS0032,JS0014,JS0035,NA,NA,JS0032
24,JS0077,2011-08-08,2012-05-12,0.7611225188227242,AE,JS0042,JS0042,JS0003,JS0004,JS0058,NA,NA,JS0003
25,JS0079,2011-08-15,2013-12-19,2.346338124572211,AV,JS0051,JS0051,NA,NA,JS0062,NA,NA,NA
26,JS0080,2011-08-15,2012-02-09,0.487337440109514,AV,JS0051,JS0051,NA,NA,JS0062,NA,NA,NA
27,JS0081,2011-08-15,2013-09-21,2.102669404517454,AV,JS0051,JS0051,NA,NA,JS0062,NA,NA,NA
28,JS0085,2011-08-20,2012-01-16,0.4079397672826831,V,JS0064,JS0064,NA,NA,JS0054,NA,NA,NA
29,JS0086,2011-08-20,2012-01-18,0.4134154688569473,V,JS0064,JS0064,NA,NA,JS0054,NA,NA,NA
30,JS0087,2011-08-30,2013-06-06,1.7686516084873374,AF1,JS0041,JS0041,JS0003,JS0004,JS0047,NA,NA,JS0003
31,JS0092,2011-08-29,2013-09-28,2.083504449007529,AF2,JS0045,JS0045,JS0032,JS0014,JS0035,NA,NA,JS0032
32,JS0094,2011-09-01,2013-09-30,2.080766598220397,R,JS0016,JS0016,NA,NA,JS0015,NA,NA,NA
33,JS0095,2011-09-01,2015-01-18,3.381245722108145,R,JS0016,JS0016,NA,NA,JS0015,NA,NA,NA
34,JS0096,2011-09-01,2013-07-15,1.8699520876112252,R,JS0016,JS0016,NA,NA,JS0015,NA,NA,NA
35,JS0099,2011-09-30,2013-06-06,1.6837782340862424,C,JS0052,JS0052,JS0037,JS0028,JS0050,NA,NA,JS0037
36,JS0100,2011-09-30,2013-12-22,2.2286105407255303,C,JS0052,JS0052,JS0037,JS0028,JS0050,NA,NA,JS0037
37,JS0101,2011-09-30,2014-04-24,2.565366187542779,C,JS0052,JS0052,JS0037,JS0028,JS0050,NA,NA,JS0037
38,JS0102,2011-10-18,2014-04-16,2.4941820670773445,AG,JS0044,JS0044,JS0032,JS0014,JS0001,NA,NA,JS0032
39,JS0114,2011-12-25,2018-05-22,6.406570841889117,K,JS0048,JS0048,NA,NA,JS0039,NA,NA,NA
40,JS0119,2010-12-25,2012-03-11,1.2101300479123889,AK,NA,NA,NA,NA,NA,NA,NA,NA
41,JS0155,2010-10-06,2015-03-14,4.435318275154004,G,NA,NA,NA,NA,NA,NA,NA,NA
42,JS0164,2012-10-06,2018-12-13,6.184804928131417,AH,JS0046,JS0046,JS0003,JS0004,JS0038,NA,NA,JS0003
43,JS0165,2012-10-06,2018-05-25,5.631759069130732,AH,JS0046,JS0046,JS0032,JS0014,JS0038,NA,NA,JS0032
44,JS0170,2012-12-07,2018-12-15,6.020533880903491,AO,NA,JS0095,JS0016,JS0015,JS0055,NA,NA,JS0016
45,JS0171,2012-12-07,2018-05-11,5.423682409308693,AO,NA,JS0095,JS0016,JS0015,JS0055,NA,NA,JS0016
46,JS0187,2012-12-14,2013-07-31,0.6269678302532512,L,JS0048,JS0117,NA,NA,JS0039,NA,NA,NA
47,JS0189,2013-01-05,2018-05-13,5.349760438056126,W,JS0086,JS0102,JS0044,JS0001,JS0087.5,NA,NA,JS0044
48,JS0194,2013-02-08,2018-11-10,5.752224503764545,D,JS0099,JS0087,JS0041,JS0047,JS0098,JS0037,JS0028,JS0041
49,JS0195,2013-02-10,2018-12-26,5.8726899383983575,D,JS0099,JS0087,JS0041,JS0047,JS0098,JS0037,JS0028,JS0041
50,JS0198,2013-06-03,2018-05-29,4.985626283367557,AW,JS0079,JS0117,NA,NA,JS0039,NA,NA,NA
51,JS0199,2013-06-04,2014-04-04,0.8323066392881588,AW,JS0079,JS0117,NA,NA,JS0039,NA,NA,NA
52,JS0201,2013-06-04,2018-05-30,4.985626283367557,AW,JS0079,JS0102,JS0044,JS0001,JS0087.5,NA,NA,JS0044
53,JS0206,2013-06-06,2014-08-07,1.1690622861054072,E,JS0100,NA,NA,NA,NA,NA,NA,NA
54,JS0215,2013-11-08,2018-05-18,4.522929500342231,S,JS0094,JS0170,JS0095,JS0055,JS0075,JS0003,JS0004,JS0095
